Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000139687];ENSG00000139687;ENSG00000139687;ENSG00000139687;"Cluster;Outlier";[RB1, OSRC, RB, PPP1R130, pRb, p105-Rb, RP11-174I10.1, pp110, 5925];[111860];RB1;5925;5925;5925
[ENSG00000082701];ENSG00000082701;ENSG00000082701;ENSG00000082701;"Outlier;Overlap";[2932, GSK3B];[109187];GSK3B;2932;ENSP00000324806;ENSP00000324806
[ENSG00000151876];ENSG00000151876;ENSG00000151876;ENSG00000151876;"Cluster;Outlier";[26272, FBXO4, FBX4];[117656];FBXO4;26272;ENSP00000281623;ENSP00000281623
[ENSG00000198176];ENSG00000198176;;ENSG00000198176;Outlier;[Dp-1, TFDP1, DP1, DRTF1, 7027, RP11-230F18.1];[112885];TFDP1;7027;ENSP00000364519;"7027;ENSP00000364519"
[ENSG00000132646];ENSG00000132646;ENSG00000132646;ENSG00000132646;Outlier;[PCNA, 5111, ATLD2];[111142];PCNA;5111;ENSP00000368438;"5111;ENSP00000368438"
[ENSG00000177885];ENSG00000177885;;ENSG00000177885;Outlier;[NCKAP2, MST084, 2885, ASH, Grb3-3, GRB2, MSTP084, EGFRBP-GRB2];[109142];NCKAP2;2885;2885;"2885;ENSP00000339007"
[ENSG00000164924];ENSG00000164924;;ENSG00000164924;Outlier;[14-3-3-zeta, YWHAD, HEL4, 7534, HEL-S-3, YWHAZ, KCIP-1];[113366];YWHAD;7534;7534;"7534;ENSP00000309503"
[ENSG00000128245];ENSG00000128245;;ENSG00000128245;Outlier;[YWHA1, 7533, LL22NC03-44A4.1, YWHAH];[113365];YWHAH;7533;ENSP00000248975;"7533;ENSP00000248975"
[ENSG00000117676];ENSG00000117676;;ENSG00000117676;Outlier;[HU-1, RSK1, MAPKAPK1A, RP11-492M19.2, RPS6KA1, p90Rsk, RSK, 6195];[112109];HU-1;6195;6195;"6195;ENSP00000435412"
[ENSG00000142208];ENSG00000142208;;ENSG00000142208;Outlier;[PRKBA, RAC, PKB, CWS6, 207, AKT1, AKT, RAC-ALPHA, PKB-ALPHA];[106710];PRKBA;207;207;"207;ENSP00000270202"
[ENSG00000108953];ENSG00000108953;ENSG00000108953;ENSG00000108953;Outlier;[YWHAE, HEL2, MDCR, 7531, 14-3-3E, MDS, KCIP-1];[113363];YWHAE;7531;7531;"7531;ENSP00000264335"
[ENSG00000118515];ENSG00000118515;;ENSG00000118515;Outlier;[SGK, 6446, SGK1, RP1-188K17.1];[112344];SGK;6446;6446;"6446;ENSP00000356832"
[ENSG00000118971];ENSG00000118971;ENSG00000118971;ENSG00000118971;"Outlier;Overlap";[894, CCND2, MPPH3, KIAK0002];[107334];CCND2;894;894;894
[ENSG00000067560];ENSG00000067560;;ENSG00000067560;Outlier;[387, ARH12, ARHA, RHOH12, RHOA, RHO12];[106880];ARH12;387;387;"387;ENSP00000400175"
[ENSG00000008018];ENSG00000008018;;ENSG00000008018;"Cluster;Outlier";[PSC5, PSMB1, 5689, HC5, PMSB1];[111662];PSMB1;5689;ENSP00000262193;ENSP00000262193
[ENSG00000114030];ENSG00000114030;;ENSG00000114030;Outlier;[3836, IPOA5, SRP1, NPI-1, RCH2, KPNA1];[110034];IPOA5;3836;3836;"3836;ENSP00000343701"
