Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000185634;;Outlier;ENSG00000185634;ENSG00000185634;ENSG00000185634;SHC4|SHCD|RaLP|UNQ6438/PRO21364|399694;SHC4;SHC4;134386;399694
ENSG00000100351;;Outlier;ENSG00000100351;ENSG00000100351;;GrbX|GRPL|9402|GRID|GADS|Grf40|RP3-370M22.1|Mona|P38|GRAP-2|GRAP2|GRBLG|GRB2L;GrbX;GRAP2;114799;9402
ENSG00000115415;;Outlier;ENSG00000115415;ENSG00000115415;ENSG00000115415;6772|STAT1|CANDF7|IMD31B|IMD31C|ISGF-3|STAT91|IMD31A;STAT1;STAT1;112649;6772
ENSG00000196396;;Outlier;ENSG00000196396;ENSG00000196396;ENSG00000196396;PTPN1|5770|PTP1B;PTPN1;PTPN1;111736;5770
ENSG00000144749;;Outlier;ENSG00000144749;ENSG00000144749;ENSG00000105486;LIG1|LRIG1|26018|LIG-1;LIG1;LRIG1;117489;26018
ENSG00000026508;;Outlier;ENSG00000026508;ENSG00000026508;;HUTCH-I|IN|CDW44|CSPG8|MIC4|ECMR-III|MDU2|MDU3|960|MC56|AL133330.1|LHR|HCELL|Pgp1|CD44;HUTCH-I;CD44;107398;960
ENSG00000166266;;Outlier;ENSG00000166266;ENSG00000166266;ENSG00000166266;CUL5|VACM1|8065|VACM-1;CUL5;CUL5;113743;8065
ENSG00000148082;;Outlier;ENSG00000148082;ENSG00000148082;ENSG00000148082;SHC3|SHCC|NSHC|53358|RAI|RP11-82L18.3|N-Shc;SHC3;SHC3;119752;53358
ENSG00000169032;;"Cluster;Outlier";ENSG00000169032;ENSG00000169032;;MKK1|PRKMK1|MAP2K1|MEK1|MAPKK1|CFC3|5604;MKK1;MAP2K1;111590;5604
ENSG00000080824;;Outlier;ENSG00000080824;ENSG00000080824;;HSP90N|HSPCAL1|HSP90AA1|HSPCAL4|EL52|HSP89A|HSPN|3320|Hsp89|LAP-2|HSPC1|Hsp90|LAP2|HSP90A|HSP86|HSPCA;HSP90N;HSP90AA1;109552;3320
ENSG00000115904;;Outlier;ENSG00000115904;ENSG00000115904;;GINGF|GF1|6654|HGF|GGF1|SOS1|NS4;GINGF;SOS1;112537;6654
ENSG00000197943;;Outlier;ENSG00000197943;ENSG00000197943;;PLC-IV|RP11-510J16.3|PLCG2|PLC-gamma-2|5336|APLAID|FCAS3;PLC-IV;PLCG2;111352;5336
ENSG00000160691;;Outlier;ENSG00000160691;ENSG00000160691;ENSG00000160691;6464|SHC1|SHCA|RP11-307C12.1|SHC;SHC1;SHC1;112361;6464
ENSG00000173801;;Outlier;ENSG00000173801;ENSG00000173801;;CTNNG|3728|PKGB|JUP|ARVD12|DP3|PDGB|DPIII;CTNNG;JUP;109931;3728
ENSG00000141510;;"Outlier;Overlap";ENSG00000141510;ENSG00000141510;;7157|TRP53|BCC7|LFS1|TP53|P53;TRP53;TP53;113010;7157
